#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q51548	uniprotkb:Q9I181	-	-	uniprotkb:pvdA(gene_name)	uniprotkb:pvdJ(gene_name)	psi-mi:"MI:0018"(two hybrid)	Imperi, F. et al.(2013)	pubmed:24042050	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-8691370	-
uniprotkb:Q9I182	uniprotkb:Q51548	-	-	uniprotkb:pvdD(gene_name)	uniprotkb:pvdA(gene_name)	psi-mi:"MI:0663"(confocal microscopy)	Imperi, F. et al.(2013)	pubmed:24042050	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-8691407	-
uniprotkb:Q51548	uniprotkb:Q9I157	-	-	uniprotkb:pvdA(gene_name)	uniprotkb:pvdL(gene_name)	psi-mi:"MI:0096"(pull down)	Imperi, F. et al.(2013)	pubmed:24042050	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-8691183	-
uniprotkb:Q03023	uniprotkb:Q03026	-	-	uniprotkb:aprA(gene_name)	uniprotkb:inh(gene_name)	psi-mi:"MI:0114"(x-ray crystallography)	Hege, T. et al.(2001)	pubmed:11445573	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-7901547	-
uniprotkb:Q9I299	uniprotkb:Q9I297	-	-	uniprotkb:liuD(gene_name)	uniprotkb:liuB(gene_name)	psi-mi:"MI:0114"(x-ray crystallography)	Huang, CS. et al.(2012)	pubmed:22158123	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0465"(dip)	dip:DIP-188952E	-
uniprotkb:Q9I317	uniprotkb:P95434	-	-	uniprotkb:pscE(gene_name)	uniprotkb:pscF(gene_name)	psi-mi:"MI:0114"(x-ray crystallography)	Quinaud, M. et al.(2007)	pubmed:17470796	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0465"(dip)	dip:DIP-196846E	-
uniprotkb:Q00514	uniprotkb:P02973	-	-	uniprotkb:xcpT(gene_name)	uniprotkb:pilA(gene_name)	psi-mi:"MI:0030"(cross-linking study)	Lu, HM. et al.(1997)	pubmed:9282737	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:287(Pseudomonas aeruginosa)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6420461	-
uniprotkb:Q51415	uniprotkb:Q51372	-	-	uniprotkb:algY(gene_name)	uniprotkb:algX(gene_name)	psi-mi:"MI:0004"(affinity chromatography technology)	Gutsche, J. et al.(2005)	pubmed:16376476	taxid:287(Pseudomonas aeruginosa)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-875647	-
uniprotkb:P52003	uniprotkb:Q8GQ91	-	-	uniprotkb:mexR(gene_name)	uniprotkb:armR(gene_name)	psi-mi:"MI:0071"(molecular sieving)	Wilke, MS. et al.(2008)	pubmed:18812515	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:287(Pseudomonas aeruginosa)	-	psi-mi:"MI:0465"(dip)	dip:DIP-88233E	-
uniprotkb:P72151	uniprotkb:Q9R016	-	-	uniprotkb:fliC(gene_name)	uniprotkb:Naip5(gene_name)	psi-mi:"MI:0018"(two hybrid)	Zhao, Y. et al.(2011)	pubmed:21918512	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:10090(Mus musculus)	-	psi-mi:"MI:0465"(dip)	dip:DIP-187177E	-
