Protein1,Protein2,Confidence,Comment
PA5065,PA5358,1,In_reference_set
PA3646,PA3645,1,In_reference_set
PA3806,PA4761,1,In_reference_set
PA3308,PA4238,1,In_reference_set
PA4254,PA4262,1,In_reference_set
PA4964,PA4403,1,In_reference_set
PA3875,PA4277,1,In_reference_set
PA4946,PA4942,1,In_reference_set
PA3011,PA3742,1,In_reference_set
PA4481,PA4407,1,In_reference_set
PA5162,PA5453,1,In_reference_set
PA0932,PA0280,1,In_reference_set
PA4445,PA4761,1,In_reference_set
PA2987,PA2988,1,In_reference_set
PA4418,PA4002,1,In_reference_set
PA4458,PA3337,1,In_reference_set
PA1140,PA0444,1,In_reference_set
PA5147,PA5148,1,In_reference_set
PA2622,PA3656,1,In_reference_set
PA4262,PA4273,1,In_reference_set
PA4160,PA4622,1,In_reference_set
PA1529,PA4481,1,In_reference_set
PA4454,PA4427,1,In_reference_set
PA4937,PA4256,1,In_reference_set
PA1802,PA3007,1,In_reference_set
PA4434,PA1812,1,In_reference_set
PA2977,PA4385,1,In_reference_set
PA1457,PA0178,1,In_reference_set
PA5564,PA5565,1,In_reference_set
PA4937,PA2741,1,In_reference_set
PA0576,PA0376,1,In_reference_set
PA3823,PA3821,1,In_reference_set
PA2965,PA3128,1,In_reference_set
PA2975,PA4258,1,In_reference_set
PA2620,PA4761,1,In_reference_set
PA4159,PA4228,1,In_reference_set
PA3725,PA5015,1,In_reference_set
PA5554,PA5560,1,In_reference_set
PA4420,PA4403,1,In_reference_set
PA5358,PA3007,1,In_reference_set
PA0858,PA4761,1,In_reference_set
PA1452,PA1448,1,In_reference_set
PA3048,PA3019,1,In_reference_set
PA2743,PA4257,1,In_reference_set
PA4938,PA4935,1,In_reference_set
PA5570,PA5569,1,In_reference_set
PA4462,PA4464,1,In_reference_set
PA5569,PA3048,1,In_reference_set
PA0004,PA0001,1,In_reference_set
PA0854,PA4333,1,In_reference_set
PA3017,PA3337,1,In_reference_set
PA0376,PA4238,1,In_reference_set
PA4753,PA2975,1,In_reference_set
PA4413,PA4410,1,In_reference_set
PA5125,PA5119,1,In_reference_set
PA1079,PA1448,1,In_reference_set
PA2840,PA4241,1,In_reference_set
PA5242,PA5241,1,In_reference_set
PA4240,PA4262,1,In_reference_set
PA2743,PA4271,1,In_reference_set
PA3639,PA4258,1,In_reference_set
PA1584,PA1588,1,In_reference_set
PA3832,PA5316,1,In_reference_set
PA3490,PA3494,1,In_reference_set
PA3646,PA4932,1,In_reference_set
PA5302,PA5016,1,In_reference_set
PA1618,PA4260,1,In_reference_set
PA4413,PA4408,1,In_reference_set
PA2975,PA3656,1,In_reference_set
PA1584,PA1585,1,In_reference_set
PA4275,PA4403,1,In_reference_set
PA4753,PA2741,1,In_reference_set
PA0903,PA3656,1,In_reference_set
PA4670,PA4274,1,In_reference_set
PA3162,PA2979,1,In_reference_set
PA4239,PA4257,1,In_reference_set
PA4668,PA5239,1,In_reference_set
PA3617,PA3007,1,In_reference_set
PA1807,PA4504,1,In_reference_set
PA4256,PA4263,1,In_reference_set
PA2622,PA5015,1,In_reference_set
PA5012,PA4988,1,In_reference_set
PA3013,PA3014,1,In_reference_set
PA0733,PA3745,1,In_reference_set
PA2620,PA3656,1,In_reference_set
PA0382,PA4241,1,In_reference_set
PA4745,PA4271,1,In_reference_set
PA3622,PA0376,1,In_reference_set
PA4277,PA0546,1,In_reference_set
PA4749,PA4433,1,In_reference_set
PA4727,PA4944,1,In_reference_set
PA4848,PA3639,1,In_reference_set
PA5373,PA5374,1,In_reference_set
PA2812,PA4240,1,In_reference_set
PA2290,PA4645,1,In_reference_set
PA5338,PA3972,1,In_reference_set
PA1081,PA1083,1,In_reference_set
PA5428,PA4273,1,In_reference_set
PA3654,PA3656,1,In_reference_set
PA3344,PA5015,1,In_reference_set
PA1340,PA2923,1,In_reference_set
